id,name,minutes,tags,n_steps,steps,ingredients,n_ingredients,user_id,rating,review,rating_category,calories,total fat (PDV),sugar (PDV),sodium (PDV),protein (PDV),saturated fat (PDV),carbohydrates (PDV),calorie_status,price
3782,chocolate sour cream cake   chocolate peanut butter frosting,60,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-large-groups', 'desserts', 'oven', 'cakes', 'dietary', 'equipment', 'number-of-servings']",17,"['combine first 3 ingredients in a large bowl', 'mix well , and set aside', 'combine water , butter and cocoa in a heavy saucepan', 'bring to a boil , stirring constantly', 'gradually stir hot mixture into flour mixture', 'stir well', 'stir in eggs and sour cream', 'mix well', 'pour into a greased and floured 13x9x2-inch baking pan', 'bake at 350 f for 25-30 minutes or until a toothpick inserted in the center comes out clean', 'cool', 'combine butter , milk , and cocoa in a saucepan', 'bring to a boil , stirring constantly', 'remove from heat', 'add remaining ingredients', 'beat at medium speed of an electric mixer until smooth', 'frost cake with chocolate-peanut butter frosting']","['sugar', 'all-purpose flour', 'baking soda', 'water', 'butter', 'cocoa', 'eggs', 'sour cream', 'milk', 'powdered sugar', 'vanilla extract', 'peanuts', 'peanut butter']",13,467265,5,the only word I have for this is orgasmic,tasty,522.6,35,242,11,9,66,25,High Calory,37
3794,ww peach angel food cake,35,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'healthy', '5-ingredients-or-less', 'desserts', 'oven', 'easy', 'low-fat', 'cakes', 'dietary', 'low-cholesterol', 'low-saturated-fat', 'healthy-2', 'low-in-something', 'equipment']",5,"['in a large bowl , combine cake mix , peaches and juice', 'mix well', 'pour into tube pan or 2 loaf pans', 'bake according to directions on cake package', 'if desired , serve with whipped topping']","['angel food cake mix', 'peaches']",2,11044,5,"This makes a cake that is moist and delicious.
I also tried this with mandarin oranges
and I think it's even better than with the peaches.",tasty,185.8,0,94,13,8,0,14,Low Calory,45
4332,hot fudge pudding cake ii,50,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'low-protein', 'healthy', 'desserts', 'oven', 'kid-friendly', 'cakes', 'puddings-and-mousses', 'chocolate', 'dietary', 'low-in-something', 'equipment', 'number-of-servings']",13,"[""heat oven to 350'f"", 'in medium bowl stir together 3 / 4 cup granulated sugar , flour , 3 tbls', 'cocoa , baking powder and salt', 'blend in milk , butter and vanilla , beat until smooth', 'pour batter into 8- or 9-inch square baking pan', 'in separate bowl , stir together remaining 1 / 2 cup granulated sugar , brown sugar and remaining 4 tablespoons cocoa', 'sprinkle mixture evenly over batter', 'pour hot water over top', 'do not stir', 'bake 35 to 40 minutes or until center is almost set', 'let stand 15 minutes', 'spoon into dessert dishes , spooning sauce from bottom of pan over top', 'garnish with whipped topping']","['granulated sugar', 'all-purpose flour', 'cocoa', 'baking powder', 'salt', 'milk', 'butter', 'vanilla extract', 'light brown sugar', 'water', 'whipped topping']",11,983969,5,"Thank you for your recipe.
Mmmm",tasty,327.9,13,178,10,6,26,20,Low Calory,16
4764,2 step pumpkin cheesecake,30,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'desserts', 'eggs-dairy', 'american', 'refrigerator', 'dinner-party', 'cheesecake', 'dietary', 'equipment', 'number-of-servings']",6,"['beat cream cheese , pumpkin , sugar and pumpkin pie spice in large bowl with wire whisk or electric mixer until smooth', 'gently stir in whipped topping', 'spoon into crust', 'refrigerate three hours or until set', 'garnish as desired', 'store leftover cheesecake in refrigerator']","['cream cheese', 'canned pumpkin', 'sugar', 'pumpkin pie spice', 'whipped topping', 'prepared graham cracker crust']",6,3460,5,"This is a great quick,easy,tasy cheescake.
the hardest thing about it is waiting for it to cool. Yum!

Jinx",tasty,382.8,37,109,15,9,59,13,Low Calory,32
4952,cake mix chocolate cookies,35,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'drop-cookies', 'desserts', 'oven', 'easy', 'cakes', 'cookies-and-brownies', 'chocolate', 'equipment', 'number-of-servings']",4,"['in a bowl , stir cake mix , butter and milk until well combined', 'break egg into mixing bowl and mix well', 'bake in 350 f oven for 12 - 15 minutes', 'enjoy --']","['egg', 'milk', 'butter', 'chocolate chips', 'chocolate cake mix']",5,43505,4,These were pretty good!!,tasty,90.8,6,26,6,2,8,4,Low Calory,17
5170,pete s scratch pancakes,20,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'pancakes-and-waffles', 'breakfast', 'easy', 'dietary', 'high-calcium', 'high-in-something', 'brunch', 'number-of-servings']",4,"['mix the dry items first', 'combine the eggs and melted butter to the milk and slowly stir into the flour mixture', 'let sit at least 10 minutes while heating the pan', 'these will be high , but light and fluffy --']","['flour', 'sugar', 'salt', 'baking powder', 'eggs', 'butter', 'milk']",7,2002059796,3,Wasn't crazy about these.,so so,209.6,12,17,13,11,23,9,Low Calory,24
5287,easy cake mix cookies,15,"['15-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'north-american', 'drop-cookies', 'desserts', 'american', 'oven', 'easy', 'finger-food', 'kid-friendly', 'cookies-and-brownies', 'dietary', 'equipment', 'number-of-servings', 'presentation']",5,"['combine cake mix , oil and eggs', 'mix well', 'add in extra ingredients', 'bake at 350 f for about 10 minutes', 'remove from oven and let cool on pan for several minutes before removing to rack to finish cooling']","['cake mix', 'vegetable oil', 'eggs', 'nuts']",4,7332,5,"This recipe is sooo easy to make, and its a real hit. Everyone in my house likes soft cookies, and these are the softest.  My favorite flavor of cake mix to use is lemon, but chocolate is good too (they taste like brownies!)",tasty,124,8,46,6,2,4,5,Low Calory,50
7356,dirt cake iii,720,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'desserts', 'american', 'refrigerator', 'kid-friendly', 'summer', 'cakes', 'chocolate', 'dietary', 'seasonal', 'equipment']",13,"['you may substitute vanilla pudding for the chocolate if you want , and use up to 20 oz of oreos', 'please use a clean new plastic flower pot or take the precaution of lining a clay pot with foil and wrap the stems of live flowers if you use them in order to prevent any toxins from entering the dessert', 'crush the cookies until they resemble potting soil', 'set aside', 'cream the butter or margarine , cream cheese , sugar and vanilla until smooth and fluffy', 'set aside', 'combine the pudding mix and milk until well blended', 'then fold in the whipped topping', 'gently fold the cream cheese and pudding mixtures together', 'to put the ""cake"" together , layer one-third of the cookie crumbs followed by 1 / 2 of the pudding mixture , 1 / 3 of the crumbs , the rest of the pudding mixture and topping with the balance of the crumbs', 'refrigerate 10-12 hours before serving', 'remove from refrigerator , decorate with flowers', 'serve by digging out portions with the trowel']","['flower pot', 'garden trowel', 'gummy worms', 'plastic flowers', 'oreo cookies', 'butter', 'cream cheese', ""confectioners' sugar"", 'vanilla', 'instant chocolate fudge pudding', 'milk', 'whipped topping']",12,6748,5,Great April Fool's day joke for the kids!  Fairly easy to make.,tasty,535.6,47,162,26,13,83,20,High Calory,29
7537,graham cracker cheesecake crust,13,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', '5-ingredients-or-less', 'desserts', 'oven', 'easy', 'cheesecake', 'dietary', 'equipment', 'number-of-servings', '3-steps-or-less']",4,"['preheat oven to 350f', 'mix all ingredients together and press evenly across bottom of a inch springform pan', 'bake for 8 to 10 minutes', 'cool and fill']","['graham cracker crumbs', 'butter', 'sugar']",3,114681,5,"Seet, simple, and good.  What more can I say?",tasty,166.6,14,52,5,2,25,6,Low Calory,27
7595,apple swirl cake,60,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'desserts', 'fruit', 'oven', 'cakes', 'dietary', 'apples', 'equipment']",16,"['peel , core , and chop apples into small pieces', 'mix together with 3 tablespoons sugar and cinnamon', 'set aside', 'in large bowl , combine sugar and cooking oil', 'beat', 'add eggs , orange juice , and vanilla', 'sift together flour , baking powder , and salt', 'add to creamed mixture', 'beat until smooth', 'pour one third batter into greased and floured 12 cup bundt pan alternating with one half apple mixture', 'repeat', 'end with layer of batter on top', 'bake at 325 degrees f for 60 minutes or until cake tests done', 'cool in pan 10 to 15 minutes', 'turn out on wire rack or serving plate to complete cooling', 'sprinkle with confectioners sugar']","['apples', 'sugar', 'cinnamon', 'cooking oil', 'eggs', 'orange juice', 'vanilla', 'flour', 'baking powder', 'salt']",10,45252,5,I made this cake for the first time today and I have to say it was one of the very best apple cakes I have ever tasted.  My husband thought it was terrific.  It will be one of our favorites from now on.  ,tasty,455.7,30,157,8,10,14,21,Low Calory,17
7883,red beet chocolate cake,40,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'for-large-groups', 'breads', 'desserts', 'vegetables', 'oven', 'cakes', 'chocolate', 'coffee-cakes', 'dietary', 'equipment', 'number-of-servings']",13,"['preheat oven to 350', 'grease 13 x 9 x 2-inch baking pan', 'sift together the flour , baking soda and salt', 'set aside', 'combine sugar , eggs , and oil in a mixing bowl', 'beat with an electric mixer set at medium speed for 2 minutes', 'beat in the beets , cooled chocolate , and vanilla', 'gradually add dry ingredients , beating well after each addition', 'pour into prepared baking pan', 'bake for 25 minutes or until cake tests done', 'cool in pan on rack', 'cover and let stand overnight to improve flavor', ""sprinkle with confectioners' sugar""]","['unbleached flour', 'baking soda', 'salt', 'sugar', 'eggs', 'vegetable oil', 'beet', 'unsweetened chocolate', 'vanilla extract', ""confectioners' sugar""]",10,153188,5,"This is a wonderfully delicious cake!  I can't believe it is so moist and it doesn't even need frosting, the confectioners sugar is exactly right.  I was very skeptical at first, and even when I popped it in the oven, I thought ""I'm gonna end up throwing this out"".  Not a chance!  My DH HATES Beets, and I'm gonna trick him into trying this cake.  I know he's gonna gobble it up!!!  Thanks RitaL for adopting this fabulous recipe!",tasty,279.4,25,78,8,6,16,10,Low Calory,9
8445,fair funnel cakes,25,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'healthy', 'lunch', 'deep-fry', 'dietary', 'technique']",12,"['beat together eggs and sugar', 'add milk slowly and beat', 'add all dry ingredients , beat until smooth', 'pour batter in a funnel--hold the hole closed w / your finger', 'next , remove finger and create designs while pouring it into the hot oil', 'be very careful !', 'turn onto', 'other side until both sides are golden brown', 'drain on paper towels and sprinkle w / powdered sugar', 'we also like to add cinnamon as well', 'yummy !', 'ps -- i highly recommend you make a double batch !']","['eggs', 'sugar', 'whole milk', 'all-purpose flour', 'salt', 'baking powder']",6,3090,5,I think this recipie is awesome. It tastes delicious and my whole family loved it.,tasty,595,13,78,23,40,18,35,High Calory,26
8635,chocolate earthquake cake,55,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'desserts', 'eggs-dairy', 'fruit', 'oven', 'kid-friendly', 'romantic', 'cakes', 'chocolate', 'nuts', 'cheese', 'eggs', 'dietary', 'taste-mood', 'equipment']",10,"['preheat oven to 350 degrees f', 'grease a cake tin', 'cover the bottom of the cake tin with the chopped pecans and flaked coconut', 'prepare cake mix as per package instructions', 'pour over the chopped pecans and flaked coconut', 'melt butter', ""add to it the cream cheese , extract and confectione's sugar"", 'stir well , and then pour over the cake bottom', 'bake for 40-45 minutes or until done', 'please bear in mind that one cannot test for doneness as the cake will appear sticky even when done']","['pecans', 'flaked coconut', 'german chocolate cake mix', 'eggs', 'oil', 'water', 'butter', 'cream cheese', 'vanilla extract', ""confectioners' sugar""]",10,27460,5,I have made this cake several times and it's always delicious. All who have tried it wanted my recipe.,tasty,754.5,62,308,25,13,81,32,High Calory,28
8692,jane s carrot cake,70,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'desserts', 'fruit', 'oven', 'easy', 'cakes', 'nuts', 'dietary', 'tropical-fruit', 'pineapple', 'equipment', '4-hours-or-less']",9,"['preheat oven to 350', 'grease and flour 9x13 pan', 'combine sugar , eggs , oil , and vanilla in bowl', 'blend using a spoon', 'stir in dry ingregients', 'mix well', 'add carrots , pineapple , coconut and nuts', 'pour into pan bake until center comes out clean , around 50 minutes', 'ice if desired']","['sugar', 'oil', 'eggs', 'vanilla', 'flour', 'cinnamon', 'baking soda', 'salt', 'coconut', 'carrots', 'pineapple', 'walnuts']",12,899752,5,"I can't believe in 7 years that no one has reviewed this recipe! I made this yesterday for a book club dessert. Everyone raved about it. Someone even said that it was impressive enough to be entered into a state fair (not that any of us had ever been to one). I watched as everyone savored every bite. It's moist, flavorful, rich, and has a great texture. I'm not a fan of nuts in baked goods, so I left them out. Raisins might be a nice addition as well. I baked it in 2 round nine-inch pans and set the timer for 30 minutes but kept it in longer until it was golden brown. It would be great without icing, but I HAD to top it off with homemade cream cheese icing. This is a keeper and although I'd like to claim this recipe as my own, I have no problem giving credit to Jane Graham, Ann Arber, and RecipeZaar. Thanks for sharing this great recipe!",tasty,611.7,61,150,18,13,60,20,High Calory,41
8726,fruit filled coffee cake,55,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'for-large-groups', 'breads', 'breakfast', 'fruit', 'american', 'oven', 'easy', 'potluck', 'coffee-cakes', 'dietary', 'comfort-food', 'taste-mood', 'to-go', 'equipment', 'number-of-servings']",9,"['beat together butter and sugar', 'add eggs , one at a time , beating well after each addition', 'add other ingredients & combine thoroughly', 'spread about 1 / 2 the batter in a 10x15x1"" cookie sheet that has been lightly sprayed with cooking spray', 'place pie filling on top of batter', 'top the pie filling with remaining 1 / 2 of batter , spreading it out so that most of the fruit is covered', 'bake at 350 for 40-45 minutes', 'let cool in pan on wire rack', 'frost with powdered sugar icing , if desired']","['butter', 'sugar', 'eggs', 'flour', 'baking powder', 'salt', 'vanilla', 'pie filling']",8,8359,5,Great Recipe---My kids love it and I give them each turns picking the filling.  We h ave used strawberrys and cherry's so far--next time is blueberry---------,tasty,159.8,7,58,5,5,13,8,Low Calory,33
